id, product_id, item, price, description, img, location
0,1,Practical finger guns,88.00,Ancilla ustilo tamdiu curtus adulatio attonbitus eius. Deficio adfero una tabernus vulariter.,https://avatars.githubusercontent.com/u/15928608,30.5713,24.4972
1,1,Unbranded water gun,187.00,Cunae denuo absum attonbitus sui vulticulus audentia cuius sustineo. Defetiscor aufero laborum adulescens paens.,https://avatars.githubusercontent.com/u/65853141,-21.8186,51.6338
2,1,Bespoke water gun,543.00,Allatus totam acidus carbo arbor creptio auditor. A abutor sumptus.,https://avatars.githubusercontent.com/u/9649030,20.6816,92.6078
3,1,Modern butter knife,835.00,Decumbo eum adhaero sumptus. Somniculosus consequuntur auctus aliquid crastinus amet tergeo abstergo ver.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/160.jpg,-64.0293,34.8236
4,1,Luxurious nerf gun,285.00,Amor tempore aqua undique baiulus curis cervus terra alioqui cedo.,https://avatars.githubusercontent.com/u/91761395,-77.869,-41.803
5,1,Sleek water gun,917.00,Creptio cupio adhuc canis adsidue.,https://avatars.githubusercontent.com/u/16503745,-82.4854,-179.5883
6,1,Rustic butter knife,178.00,Adeo comprehendo catena. Velut vilitas subseco pauci dolores aegrotatio aurum magnam talus stillicidium. Commemoro adhaero tamdiu bibo.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/986.jpg,10.7205,21.3487
7,1,Gorgeous nerf gun,735.00,Conturbo copia fugiat.,https://avatars.githubusercontent.com/u/95072840,-56.4589,-102.423
8,1,Luxurious water gun,841.00,Magnam vociferor ambulo venio quam modi depopulo cumque sumo. Aeger cilicium confugo defungo adsum aetas ultra cito.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/670.jpg,-50.8309,59.2385
9,1,Handmade finger guns,148.00,Sumptus agnitio teneo harum desidero caritas libero cavus vicinus custodia. Arto atqui verto venustas.,https://avatars.githubusercontent.com/u/76147629,82.472,-47.53250,2,Recycled claritin,960.00,Cibo arto consequuntur claudeo tergiversatio cavus accedo temporibus. Desipio varius crur stipes depono ullus veniam tepesco depopulo.,https://avatars.githubusercontent.com/u/55863320,41.8138,-128.4903
1,2,Gorgeous advil,836.00,Alii a abscido autus arca blandior adeptio volup appositus. Deficio sublime candidus custodia officiis vulgivagus casus alius aurum. Neque vapulus tabella angulus alius civis suppono ait textilis corrupti.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/718.jpg,-66.865,142.9178
2,2,Modern advil,604.00,Suasoria audacia apud crux recusandae voveo. Inventore dedecor ultra usus magni.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/744.jpg,-73.8581,141.2045
3,2,Modern claritin,777.00,Velut attollo cibo. Tollo suppellex explicabo impedit numquam tactus avaritia. Viduo averto sublime amaritudo subiungo cavus.,https://avatars.githubusercontent.com/u/95100616,-42.2987,105.231
4,2,Incredible ibuprofen,293.00,In succedo volutabrum tego sapiente denique beneficium ciminatio. Amor ademptio cursim tui. Sonitus auxilium apto sufficio colligo denuo maxime depopulo optio.,https://avatars.githubusercontent.com/u/58005165,-83.9124,123.7844
5,2,Licensed claritin,717.00,Cervus accusantium cattus contego soluta contabesco arma. Acervus amor ter deorsum.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/38.jpg,-46.4896,163.2527
6,2,Elegant ibuprofen,808.00,Possimus solutio bellum angustus. Confido venustas vomer caritas ea. Vomito inventore valens voluptatibus somnus aperiam appello caterva verto.,https://avatars.githubusercontent.com/u/43113655,-12.7864,-33.3953
7,2,Modern ibuprofen,345.00,Reprehenderit cursim recusandae autem dedico tenus velum facere contra altus. Atque vindico adsidue titulus possimus tutamen versus despecto. Vinum charisma denego conicio magni textus numquam aptus.,https://avatars.githubusercontent.com/u/18113730,-78.7213,-87.9318
8,2,Electronic tylenol,504.00,Averto derideo culpa. Pecto deduco valetudo minima impedit. Sponte sponte temptatio terebro basium vilitas agnitio certe.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/445.jpg,-82.3023,-122.3676
9,2,Handmade tylenol,558.00,Terreo strenuus super thema tyrannus vacuus subvenio minus aequus. Ver ullam creo atrocitas ea sollicito tersus sumptus deinde. Autus vigor illo curtus complectus adsuesco possimus.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/989.jpg,-44.2519,-121.56190,3,Unbranded horse,28.00,Amor basium defendo verumtamen aegre nobis. Terra vulnero soleo eius sumo.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/299.jpg,-36.0159,-78.3231
1,3,Handcrafted cetacean,985.00,Tabesco apparatus ventito deprimo adulescens testimonium acsi censura attero.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/554.jpg,60.1419,-165.0145
2,3,Refined snake,472.00,Stipes pecco viduo.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/658.jpg,66.6718,-158.7578
3,3,Luxurious cetacean,479.00,Terga bene pecco demitto aer.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/535.jpg,-28.7637,87.1035
4,3,Rustic lion,179.00,Carmen temptatio autus vinum conscendo solum.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/634.jpg,55.8996,135.5442
5,3,Unbranded rabbit,133.00,Trepide annus caelum peior aut. Confugo caste synagoga sum.,https://avatars.githubusercontent.com/u/78931789,-12.0694,-81.3856
6,3,Gorgeous fish,199.00,Nesciunt caterva vorago aegre ago usitas studio defessus. Adipiscor voluptates placeat sed usitas volubilis. Dedecor amitto conservo laudantium adulatio atque arguo ducimus.,https://avatars.githubusercontent.com/u/86974413,-41.8733,-148.7152
7,3,Refined horse,545.00,Ullam denego collum.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/935.jpg,87.8624,-170.4883
8,3,Gorgeous bear,419.00,Conitor thymum cubitum.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1237.jpg,-47.9021,38.2829
9,3,Fantastic cat,628.00,Vae totam vulgo arcus adstringo quas vociferor architecto.,https://avatars.githubusercontent.com/u/46585648,15.8367,169.70740,4,Gorgeous pipe organ,634.00,Summopere adflicto custodia annus alioqui architecto alioqui amplexus tersus.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/157.jpg,-60.1982,104.3825
1,4,Licensed pipe organ,581.00,Terminatio audeo consequatur combibo atrox vulgaris tepidus. Demoror spes demergo adeo suasoria depromo ultra vero. Virgo considero adficio avarus.,https://avatars.githubusercontent.com/u/3836916,-6.0335,-70.9043
2,4,Awesome pipe organ,553.00,Ullam quibusdam conculco commemoro tolero abbas arbitro vinitor cognomen adeptio. Tyrannus aegrotatio amaritudo terreo trucido volaticus sequi.,https://avatars.githubusercontent.com/u/83724660,21.0015,-167.3563
3,4,Rustic water organ,322.00,Socius umquam colligo defaeco vere. Arca titulus trepide tergum speciosus. Bestia delibero amissio inventore voco decimus surculus uter vorago tonsor.,https://avatars.githubusercontent.com/u/55923566,66.8907,-7.9646
4,4,Licensed pipe organ,749.00,Deprimo urbanus debilito. Conatus cupressus benevolentia taceo tabernus anser provident. Arbustum custodia templum non deludo tabella.,https://avatars.githubusercontent.com/u/10453006,32.3083,-177.1586
5,4,Tasty electric organ,333.00,Speciosus tonsor aestus nihil fuga calcar testimonium.,https://avatars.githubusercontent.com/u/22940839,-29.2955,25.3983
6,4,Awesome water organ,264.00,Tertius sponte delectus. Coma ventito acies coadunatio stultus officiis surculus. Clam ascisco temporibus.,https://avatars.githubusercontent.com/u/86841307,-1.7325,-70.233
7,4,Generic reed organ,892.00,Abeo sapiente tonsor ustulo sublime. Viscus non contra canonicus canis appositus adulescens degero demonstro abundans.,https://avatars.githubusercontent.com/u/42763438,78.105,154.0009
8,4,Fantastic electric organ,936.00,Temporibus ullam anser. Tepidus aestivus dolores.,https://avatars.githubusercontent.com/u/27902273,40.6645,32.8148
9,4,Oriental water organ,998.00,Excepturi suscipit aegrotatio cavus nisi talio carpo templum. Vulgo porro cupiditate voluntarius consuasor sortitus ipsa voluntarius ulterius absens.,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/544.jpg,-37.613,-112.5364
